#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -14.6780  -14.5786  -14.5785  -13.4525  -13.4523  -13.2839   -6.4179   -5.9547   -5.9546   -3.0697   -3.0697   -3.0695   -3.0695   -3.0638   -3.0638   -2.6562   -2.6560   -1.9790   -1.9790   -1.9682   -1.9682   -1.9680   -1.9680   -1.3505   -0.8242   -0.0559   -0.0557    2.2591    2.2638    2.2939    2.2941    2.2941    2.3030    2.5012    2.5014    2.5014    2.5297    2.5502
  0.0335  -14.6749  -14.5756  -14.5754  -13.4510  -13.4508  -13.2825   -6.4142   -5.9511   -5.9509   -3.0777   -3.0769   -3.0715   -3.0667   -3.0659   -3.0605   -2.6690   -2.6688   -1.9999   -1.9846   -1.9746   -1.9726   -1.9608   -1.9588   -1.3359   -0.8242   -0.0596   -0.0594    2.2583    2.2779    2.2887    2.2966    2.3010    2.3094    2.4900    2.4962    2.5013    2.5265    2.5455
  0.0670  -14.6656  -14.5664  -14.5662  -13.4464  -13.4462  -13.2784   -6.4031   -5.9404   -5.9402   -3.1010   -3.0995   -3.0942   -3.0571   -3.0555   -3.0505   -2.7052   -2.7051   -2.0571   -2.0009   -1.9919   -1.9880   -1.9389   -1.9348   -1.2980   -0.8240   -0.0707   -0.0704    2.2477    2.2730    2.2795    2.2872    2.3156    2.3358    2.4674    2.4790    2.4890    2.5038    2.5263
  0.1005  -14.6503  -14.5512  -14.5510  -13.4387  -13.4386  -13.2716   -6.3848   -5.9226   -5.9224   -3.1391   -3.1367   -3.1315   -3.0410   -3.0386   -3.0338   -2.7602   -2.7600   -2.1396   -2.0278   -2.0196   -2.0137   -1.9076   -1.9012   -1.2482   -0.8241   -0.0895   -0.0891    2.2292    2.2472    2.2634    2.3120    2.3385    2.3526    2.4348    2.4513    2.4559    2.4773    2.5154
  0.1340  -14.6288  -14.5299  -14.5297  -13.4281  -13.4279  -13.2620   -6.3593   -5.8980   -5.8978   -3.1910   -3.1876   -3.1824   -3.0184   -3.0152   -3.0107   -2.8290   -2.8288   -2.2383   -2.0643   -2.0570   -2.0492   -1.8725   -1.8634   -1.1965   -0.8247   -0.1166   -0.1158    2.2073    2.2155    2.2280    2.3499    2.3725    2.3765    2.3872    2.3923    2.4243    2.4355    2.4860
  0.1675  -14.6014  -14.5028  -14.5026  -13.4145  -13.4143  -13.2499   -6.3271   -5.8670   -5.8668   -3.2555   -3.2510   -3.2458   -2.9896   -2.9856   -2.9813   -2.9075   -2.9072   -2.3474   -2.1098   -2.1031   -2.0936   -1.8381   -1.8259   -1.1498   -0.8265   -0.1525   -0.1509    2.1820    2.1911    2.1997    2.3002    2.3522    2.3755    2.3858    2.3951    2.4123    2.4526    2.4647
  0.2010  -14.5682  -14.4699  -14.4697  -13.3980  -13.3978  -13.2352   -6.2886   -5.8300   -5.8298   -3.3312   -3.3254   -3.3201   -2.9929   -2.9926   -2.9547   -2.9498   -2.9457   -2.4636   -2.1630   -2.1570   -2.1458   -1.8079   -1.7921   -1.1125   -0.8302   -0.1977   -0.1949    2.1468    2.1520    2.1641    2.2186    2.2973    2.3380    2.3541    2.3988    2.4470    2.4884    2.5074
  0.2345  -14.5292  -14.4313  -14.4311  -13.3787  -13.3784  -13.2179   -6.2441   -5.7877   -5.7874   -3.4165   -3.4092   -3.4039   -3.0834   -3.0830   -2.9140   -2.9081   -2.9042   -2.5848   -2.2230   -2.2175   -2.2048   -1.7845   -1.7645   -1.0878   -0.8368   -0.2525   -0.2480    2.0827    2.1068    2.1080    2.1741    2.2592    2.2867    2.3073    2.3539    2.3826    2.5244    2.5657
  0.2681  -14.4847  -14.3874  -14.3871  -13.3567  -13.3564  -13.1983   -6.1944   -5.7408   -5.7404   -3.5096   -3.5007   -3.4954   -3.1776   -3.1771   -2.8679   -2.8608   -2.8571   -2.7095   -2.2886   -2.2836   -2.2694   -1.7697   -1.7448   -1.0774   -0.8472   -0.3171   -0.3104    1.9806    2.0588    2.0713    2.1752    2.2322    2.2521    2.2613    2.3165    2.3451    2.6027    2.6406
  0.3016  -14.4349  -14.3382  -14.3378  -13.3322  -13.3317  -13.1764   -6.1402   -5.6903   -5.6898   -3.6089   -3.5979   -3.5928   -3.2746   -3.2739   -2.8370   -2.8165   -2.8084   -2.8047   -2.3586   -2.3542   -2.3386   -1.7647   -1.7341   -1.0820   -0.8625   -0.3911   -0.3816    1.8784    2.0112    2.0348    2.1907    2.2118    2.2166    2.2259    2.2717    2.2994    2.6642    2.6969
